Product Title,Product Price,Product Link,Review Count,Shop
LGgram Pro 2024 evo Ultra7 17英寸AI轻薄本AG防眩光屏长续航笔记本电脑（32G 1TB 黑）游戏AI PC,￥13299.00,https://item.jd.com/100088485815.html,0,LG笔记本电脑京东自营旗舰店
联想（lenovo）ThinkPad P15V英特尔酷睿15.6英寸笔记本电脑高性能工作站i7-12700H/16G/512G/T600 4G独显/Win11H/一年,￥13399.00,https://item.jd.com/100056747418.html,0,联想商用智能设备京东自营旗舰店
联想（lenovo）ThinkPad P15V英特尔酷睿15.6英寸笔记本电脑高性能工作站i7-11800H/16G/512G/T600 4G独显/Win11H/一年,￥12999.00,https://item.jd.com/100061623401.html,0,联想商用智能设备京东自营旗舰店
联想（lenovo）ThinkPad P15V英特尔酷睿15.6英寸笔记本电脑高性能工作站i7-12700H/16G/512G/T600 4G独显/Win11H/一年,￥13399.00,https://item.jd.com/100056747418.html,0,联想商用智能设备京东自营旗舰店
联想（lenovo）ThinkPad P15V英特尔酷睿15.6英寸笔记本电脑高性能工作站i7-11800H/16G/512G/T600 4G独显/Win11H/一年,￥12999.00,https://item.jd.com/100061623401.html,0,联想商用智能设备京东自营旗舰店
攀升【杨威推荐】国行明星款P3护眼版英特尔i5 16英寸低蓝光高性能笔记本电脑大学生网课设计办公轻薄 英特尔酷睿I5 16G 1T固态 锐炬显卡,￥3299.00,https://item.jd.com/10083328883614.html,2,攀升笔记本旗舰店
攀升【杨威推荐】国行明星款P3护眼版英特尔i5 16英寸低蓝光高性能笔记本电脑大学生网课设计办公轻薄 英特尔酷睿I5 16G 1T固态 锐炬显卡,￥3299.00,https://item.jd.com/10083328883614.html,2,攀升笔记本旗舰店
攀升【杨威推荐】国行明星款P3护眼版英特尔i5 16英寸低蓝光高性能笔记本电脑大学生网课设计办公轻薄 英特尔酷睿I5 16G 1T固态 锐炬显卡,￥3299.00,https://item.jd.com/10083328883614.html,2,攀升笔记本旗舰店
攀升【杨威推荐】国行明星款P3护眼版英特尔i5 16英寸低蓝光高性能笔记本电脑大学生网课设计办公轻薄 英特尔酷睿I5 16G 1T固态 锐炬显卡,￥3299.00,https://item.jd.com/10083328883614.html,2,攀升笔记本旗舰店
攀升【杨威推荐】国行明星款P3护眼版英特尔i5 16英寸低蓝光高性能笔记本电脑大学生网课设计办公轻薄 英特尔酷睿I5 16G 1T固态 锐炬显卡,￥3299.00,https://item.jd.com/10083328883614.html,2,攀升笔记本旗舰店
攀升【杨威推荐】国行明星款P3护眼版英特尔i5 16英寸低蓝光高性能笔记本电脑大学生网课设计办公轻薄 英特尔酷睿I5 16G 1T固态 锐炬显卡,￥3299.00,https://item.jd.com/10083328883614.html,2,攀升笔记本旗舰店
攀升【杨威推荐】国行明星款P3护眼版英特尔i5 16英寸低蓝光高性能笔记本电脑大学生网课设计办公轻薄 英特尔酷睿I5 16G 1T固态 锐炬显卡,￥3299.00,https://item.jd.com/10083328883614.html,2,攀升笔记本旗舰店
攀升【杨威推荐】国行明星款P3护眼版英特尔i5 16英寸低蓝光高性能笔记本电脑大学生网课设计办公轻薄 英特尔酷睿I5 16G 1T固态 锐炬显卡,￥3299.00,https://item.jd.com/10083328883614.html,2,攀升笔记本旗舰店
攀升【杨威推荐】国行明星款P3护眼版英特尔i5 16英寸低蓝光高性能笔记本电脑大学生网课设计办公轻薄 英特尔酷睿I5 16G 1T固态 锐炬显卡,￥3299.00,https://item.jd.com/10083328883614.html,2,攀升笔记本旗舰店
攀升【杨威推荐】国行明星款P3护眼版英特尔i5 16英寸低蓝光高性能笔记本电脑大学生网课设计办公轻薄 英特尔酷睿I5 16G 1T固态 锐炬显卡,￥3299.00,https://item.jd.com/10083328883614.html,2,攀升笔记本旗舰店
攀升【杨威推荐】国行明星款P3护眼版英特尔i5 16英寸低蓝光高性能笔记本电脑大学生网课设计办公轻薄 英特尔酷睿I5 16G 1T固态 锐炬显卡,￥3299.00,https://item.jd.com/10083328883614.html,2,攀升笔记本旗舰店
夏宇 XAYU二合一迷你笔记本电脑便携式平板电脑轻薄本12英寸小尺寸商务办公触屏大学生网课设计手提口袋电脑 8G512G【触屏指纹解锁】办公款,￥2356.00,https://item.jd.com/10079263779109.html,14,夏宇 XAYU电脑办公官方旗舰店
夏宇 XAYU二合一迷你笔记本电脑便携式平板电脑轻薄本12英寸小尺寸商务办公触屏大学生网课设计手提口袋电脑 8G512G【触屏指纹解锁】办公款,￥2356.00,https://item.jd.com/10079263779109.html,14,夏宇 XAYU电脑办公官方旗舰店
夏宇 XAYU二合一迷你笔记本电脑便携式平板电脑轻薄本12英寸小尺寸商务办公触屏大学生网课设计手提口袋电脑 8G512G【触屏指纹解锁】办公款,￥2356.00,https://item.jd.com/10079263779109.html,14,夏宇 XAYU电脑办公官方旗舰店
夏宇 XAYU二合一迷你笔记本电脑便携式平板电脑轻薄本12英寸小尺寸商务办公触屏大学生网课设计手提口袋电脑 8G512G【触屏指纹解锁】办公款,￥2356.00,https://item.jd.com/10079263779109.html,14,夏宇 XAYU电脑办公官方旗舰店
夏宇 XAYU二合一迷你笔记本电脑便携式平板电脑轻薄本12英寸小尺寸商务办公触屏大学生网课设计手提口袋电脑 8G512G【触屏指纹解锁】办公款,￥2356.00,https://item.jd.com/10079263779109.html,14,夏宇 XAYU电脑办公官方旗舰店
夏宇 XAYU二合一迷你笔记本电脑便携式平板电脑轻薄本12英寸小尺寸商务办公触屏大学生网课设计手提口袋电脑 8G512G【触屏指纹解锁】办公款,￥2356.00,https://item.jd.com/10079263779109.html,14,夏宇 XAYU电脑办公官方旗舰店
夏宇 XAYU二合一迷你笔记本电脑便携式平板电脑轻薄本12英寸小尺寸商务办公触屏大学生网课设计手提口袋电脑 8G512G【触屏指纹解锁】办公款,￥2356.00,https://item.jd.com/10079263779109.html,14,夏宇 XAYU电脑办公官方旗舰店
夏宇 XAYU二合一迷你笔记本电脑便携式平板电脑轻薄本12英寸小尺寸商务办公触屏大学生网课设计手提口袋电脑 8G512G【触屏指纹解锁】办公款,￥2356.00,https://item.jd.com/10079263779109.html,14,夏宇 XAYU电脑办公官方旗舰店
夏宇 XAYU二合一迷你笔记本电脑便携式平板电脑轻薄本12英寸小尺寸商务办公触屏大学生网课设计手提口袋电脑 8G512G【触屏指纹解锁】办公款,￥2356.00,https://item.jd.com/10079263779109.html,14,夏宇 XAYU电脑办公官方旗舰店
夏宇 XAYU二合一迷你笔记本电脑便携式平板电脑轻薄本12英寸小尺寸商务办公触屏大学生网课设计手提口袋电脑 8G512G【触屏指纹解锁】办公款,￥2356.00,https://item.jd.com/10079263779109.html,14,夏宇 XAYU电脑办公官方旗舰店
夏宇 XAYU二合一迷你笔记本电脑便携式平板电脑轻薄本12英寸小尺寸商务办公触屏大学生网课设计手提口袋电脑 8G512G【触屏指纹解锁】办公款,￥2356.00,https://item.jd.com/10079263779109.html,14,夏宇 XAYU电脑办公官方旗舰店
华硕a豆14 Air 高性能AI超轻薄本 笔记本电脑(全新R7 8845H 32G 1T 2.8K 120Hz OLED)商务办公学生 青,￥5999.00,https://item.jd.com/100096927362.html,16,华硕京东自营官方旗舰店
华硕灵耀X 双屏 Pro 酷睿i7高性能双触控屏 笔记本电脑轻薄本商用办公 双屏双触控 i5-1155G7全 16G内存丨512G固态硬盘,￥4877.00,https://item.jd.com/10096153729443.html,17,灵耀电脑授权经营部
靓升 笔记本A5本子 2024年工作会议记录本商务软皮记事本办公日记本b5学生考研加厚书写本日记文具可印logo,￥8.80,https://item.jd.com/100076256323.html,23,靓升京东自营旗舰店
靓升 笔记本A5本子 2024年工作会议记录本商务软皮记事本办公日记本b5学生考研加厚书写本日记文具可印logo,￥8.80,https://item.jd.com/100076256323.html,23,靓升京东自营旗舰店
靓升 笔记本A5本子 2024年工作会议记录本商务软皮记事本办公日记本b5学生考研加厚书写本日记文具可印logo,￥8.80,https://item.jd.com/100076256323.html,23,靓升京东自营旗舰店
靓升 笔记本A5本子 2024年工作会议记录本商务软皮记事本办公日记本b5学生考研加厚书写本日记文具可印logo,￥8.80,https://item.jd.com/100076256323.html,23,靓升京东自营旗舰店
靓升 笔记本A5本子 2024年工作会议记录本商务软皮记事本办公日记本b5学生考研加厚书写本日记文具可印logo,￥8.80,https://item.jd.com/100076256323.html,23,靓升京东自营旗舰店
靓升 笔记本A5本子 2024年工作会议记录本商务软皮记事本办公日记本b5学生考研加厚书写本日记文具可印logo,￥8.80,https://item.jd.com/100076256323.html,23,靓升京东自营旗舰店
靓升 笔记本A5本子 2024年工作会议记录本商务软皮记事本办公日记本b5学生考研加厚书写本日记文具可印logo,￥8.80,https://item.jd.com/100076256323.html,23,靓升京东自营旗舰店
靓升 笔记本A5本子 2024年工作会议记录本商务软皮记事本办公日记本b5学生考研加厚书写本日记文具可印logo,￥8.80,https://item.jd.com/100076256323.html,23,靓升京东自营旗舰店
靓升 笔记本A5本子 2024年工作会议记录本商务软皮记事本办公日记本b5学生考研加厚书写本日记文具可印logo,￥8.80,https://item.jd.com/100076256323.html,23,靓升京东自营旗舰店
靓升 笔记本A5本子 2024年工作会议记录本商务软皮记事本办公日记本b5学生考研加厚书写本日记文具可印logo,￥8.80,https://item.jd.com/100076256323.html,23,靓升京东自营旗舰店
